id,suburb_locality_id,major_name_id,major_name,major_name_type,major_name_ascii
1,1,100239,Acton,Major Locality,Acton
3,3,100012,Christchurch,City,Christchurch
4,4,103211,Ahaura,Major Locality,Ahaura
177,187,103857,Hira,Major Locality,Hira
3214,8691,104048,Ātiamuri,Major Locality,Atiamuri
1486,1575,100004,Auckland,City,Auckland
11,11,100116,Upper Hutt,City,Upper Hutt
12,12,100116,Upper Hutt,City,Upper Hutt
14,14,100032,Hastings,City,Hastings
15,15,103242,Albury,Major Locality,Albury
16,16,102995,Mount Somers,Major Locality,Mount Somers
18,18,100004,Auckland,City,Auckland
19,19,100050,Lower Hutt,City,Lower Hutt
24,25,103195,Culverden,Major Locality,Culverden
25,26,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
28,29,100064,Nelson,City,Nelson
33,34,100246,Āpiti,Major Locality,Apiti
34,35,100038,Invercargill,City,Invercargill
38,39,100012,Christchurch,City,Christchurch
41,42,101171,Matakohe,Major Locality,Matakohe
47,48,100918,Waikaia,Major Locality,Waikaia
50,51,100132,Wellington,City,Wellington
53,54,100038,Invercargill,City,Invercargill
54,55,100082,Porirua,City,Porirua
63,65,103212,St. Arnaud,Major Locality,St. Arnaud
64,66,100257,Athol,Major Locality,Athol
65,67,100004,Auckland,City,Auckland
67,69,100050,Lower Hutt,City,Lower Hutt
68,70,100038,Invercargill,City,Invercargill
69,71,100137,Whangārei,City,Whangarei
70,72,100012,Christchurch,City,Christchurch
71,73,100012,Christchurch,City,Christchurch
72,74,100012,Christchurch,City,Christchurch
80,83,100077,Palmerston North,City,Palmerston North
86,89,100030,Hamilton,City,Hamilton
88,91,100018,Dunedin,City,Dunedin
91,94,102694,Balfour,Major Locality,Balfour
93,97,103253,Balmoral,Major Locality,Balmoral
94,98,103254,Bankside,Major Locality,Bankside
95,99,100195,Lumsden,Major Locality,Lumsden
96,101,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
98,103,100064,Nelson,City,Nelson
100,105,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
102,107,100012,Christchurch,City,Christchurch
103,108,100565,Omakau,Major Locality,Omakau
104,109,100030,Hamilton,City,Hamilton
105,110,100012,Christchurch,City,Christchurch
108,113,100018,Dunedin,City,Dunedin
109,114,100104,Tauranga,City,Tauranga
110,115,100050,Lower Hutt,City,Lower Hutt
111,117,100352,Dipton,Major Locality,Dipton
113,119,100132,Wellington,City,Wellington
114,120,100104,Tauranga,City,Tauranga
115,121,100012,Christchurch,City,Christchurch
117,123,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
118,124,100116,Upper Hutt,City,Upper Hutt
122,128,100012,Christchurch,City,Christchurch
123,129,100064,Nelson,City,Nelson
124,130,100366,Duntroon,Major Locality,Duntroon
125,131,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
127,133,100018,Dunedin,City,Dunedin
129,135,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
130,136,100065,New Plymouth,City,New Plymouth
133,140,100004,Auckland,City,Auckland
138,145,100004,Auckland,City,Auckland
139,146,100012,Christchurch,City,Christchurch
140,147,100050,Lower Hutt,City,Lower Hutt
141,148,100018,Dunedin,City,Dunedin
143,150,100546,Mossburn,Major Locality,Mossburn
144,151,100132,Wellington,City,Wellington
146,154,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
149,157,100323,Broadlands,Major Locality,Broadlands
150,159,100132,Wellington,City,Wellington
151,160,100018,Dunedin,City,Dunedin
153,162,100104,Tauranga,City,Tauranga
154,163,100012,Christchurch,City,Christchurch
155,164,100065,New Plymouth,City,New Plymouth
156,165,100132,Wellington,City,Wellington
157,166,100012,Christchurch,City,Christchurch
158,167,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
159,168,100116,Upper Hutt,City,Upper Hutt
163,173,100012,Christchurch,City,Christchurch
165,175,100004,Auckland,City,Auckland
3574,8994,102877,Hokitika,Major Locality,Hokitika
167,177,200003,Marlborough Sounds,Major Locality,Marlborough Sounds
170,180,100018,Dunedin,City,Dunedin
